Year (year),Name of the state (state_name),Name of the district (district_name),Name of the block (block_name),Name of the Gram Panchayat (gp_name),Number of registered households (reg_hh),Number of registered persons (reg_pers),Number of deleted job cards for households (del_jobcards_hh),Number of deleted job cards for persons (del_jobcards_pers),Number of included job cards for households (incl_jobcards_hh),Number of included job cards for persons (incl_jobcards_pers),Cumulative job cards issued for Scheduled Castes for households (cumul_hh_jobcards_sc),Cumulative job cards issued for Scheduled Tribes for households (cumul_hh_jobcards_sts),Cumulative job cards issued for other categories for households (cumul_hh_jobcards_others),Total cumulative job cards issued for all categories for households (cumul_hh_jobcards_tot),Number of households demanding employment (emp_demand_hh),Number of persons demanding employment (emp_demand_pers),Number of households offered employment (emp_offer_hh),Number of persons offered employment (emp_offer_pers),Number of households availing employment (emp_avail_hh),Number of persons availing employment (emp_avail_pers),Total person-days of employment availed (emp_avail_tot_persondays),Person-days of employment availed under central liability (emp_avail_central_persondays),Person-days of employment availed under state's liability (emp_avail_states_persondays),Number of households completing 100 days of employment (fam_completed_100_days),Number of households benefiting from land reform or IAY schemes (land_reform_benef_hh),Number of disabled individuals benefiting from the scheme (disabled_benef_indiv)
"2022-2023","Manipur","Churachandpur","Sangaikot","M. Phainom","21.0","36.0","0.0","0.0","0.0","5.0","0.0","21.0","0.0","21.0","21.0","21.0","21.0","21.0","21.0","21.0","380.0","380.0","0.0","0.0","0.0","0.0"
"2016-2017","Gujarat","Surat","Mahuva","Bartad","549.0","1334.0","16.0","31.0","73.0","139.0","0.0","540.0","9.0","549.0","42.0","68.0","42.0","68.0","40.0","58.0","779.0","779.0","0.0","0.0","0.0","0.0"
"2018-2019","Uttar Pradesh","Sant Kabeer Nagar","Haisar Bazar","Duhiyakala","471.0","660.0","1.0","2.0","26.0","26.0","33.0","1.0","401.0","435.0","320.0","378.0","320.0","378.0","268.0","319.0","11251.0","11251.0","0.0","4.0","0.0","0.0"
"2020-2021","Andhra Pradesh","Y.S.R","B Kodur","Ithrampet","1097.0","2379.0","0.0","1.0","38.0","72.0","301.0","23.0","773.0","1097.0","733.0","1362.0","733.0","1361.0","666.0","1145.0","42951.0","42951.0","0.0","132.0","0.0","11.0"
"2017-2018","Bihar","Buxar ","Dumraon","Lakhandihra","1608.0","1940.0","15.0","17.0","29.0","35.0","636.0","50.0","861.0","1547.0","150.0","174.0","149.0","173.0","105.0","117.0","5286.0","5286.0","0.0","2.0","0.0","1.0"
"2017-2018","Madhya Pradesh","Ujjain","Ghatiya","Gunawa","72.0","189.0","8.0","24.0","2.0","5.0","41.0","4.0","27.0","72.0","57.0","100.0","57.0","99.0","50.0","77.0","3294.0","3294.0","0.0","0.0","0.0","0.0"
"2016-2017","Meghalaya","West Garo Hills","Gambegre","Rongatagre","35.0","98.0","4.0","12.0","0.0","7.0","0.0","33.0","2.0","35.0","35.0","62.0","35.0","62.0","35.0","62.0","2940.0","2940.0","0.0","0.0","0.0","0.0"
"2017-2018","Maharashtra","Thane","Kalyan","Sangode","176.0","372.0","0.0","0.0","5.0","21.0","11.0","18.0","147.0","176.0","54.0","97.0","54.0","97.0","54.0","97.0","2034.0","2034.0","0.0","0.0","1.0","0.0"
"2019-2020","Arunachal Pradesh","Changlang","Nampong","Nongthey","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2021-2022","Madhya Pradesh","Seoni","Barghat","Amagaon","246.0","777.0","0.0","6.0","6.0","29.0","120.0","39.0","83.0","242.0","213.0","534.0","213.0","534.0","164.0","330.0","8156.0","8156.0","0.0","7.0","0.0","15.0"
"2022-2023","Maharashtra","Satara","Khatav","Aundh","1204.0","1887.0","2.0","3.0","26.0","27.0","66.0","0.0","668.0","734.0","97.0","109.0","97.0","109.0","93.0","105.0","1651.0","1651.0","0.0","0.0","0.0","0.0"
"2018-2019","Punjab","Sangrur","Bhawanigarh","Dehlewal","122.0","129.0","0.0","0.0","0.0","1.0","91.0","0.0","31.0","122.0","21.0","22.0","21.0","22.0","12.0","13.0","56.0","56.0","0.0","0.0","0.0","0.0"
"2020-2021","Madhya Pradesh","Jhabua","Petlawad","Asalya","521.0","1312.0","28.0","75.0","4.0","67.0","1.0","510.0","9.0","520.0","534.0","1218.0","534.0","1218.0","384.0","727.0","12048.0","12048.0","0.0","0.0","0.0","1.0"
"2019-2020","Rajasthan","Bharatpur","Sewar","Oodra","765.0","1605.0","2.0","5.0","6.0","16.0","86.0","0.0","679.0","765.0","241.0","339.0","241.0","339.0","213.0","288.0","7473.0","7473.0","0.0","32.0","0.0","1.0"
"2014-2015","Himachal Pradesh","Shimla","Jubbal Kotkhai","Ratnari","281.0","655.0","1.0","1.0","5.0","9.0","81.0","1.0","198.0","280.0","45.0","71.0","44.0","69.0","44.0","72.0","2064.0","2064.0","0.0","0.0","0.0","0.0"
"2017-2018","Madhya Pradesh","Anuppur","Pushprajgarh","Sarfa","321.0","793.0","3.0","94.0","0.0","0.0","6.0","309.0","6.0","321.0","225.0","416.0","225.0","416.0","181.0","314.0","4185.0","4185.0","0.0","0.0","0.0","0.0"
"2020-2021","Uttar Pradesh","Ayodhya","Pura Bazar","Kurha Keshav Pur","331.0","404.0","0.0","0.0","8.0","9.0","167.0","0.0","156.0","323.0","129.0","143.0","129.0","143.0","89.0","98.0","1888.0","1888.0","0.0","0.0","0.0","1.0"
"2016-2017","Bihar","Purnia","Baisi","Shadipur Bhutaha","2603.0","3084.0","0.0","0.0","232.0","235.0","96.0","2.0","2149.0","2247.0","336.0","339.0","336.0","339.0","293.0","296.0","5805.0","5805.0","0.0","0.0","0.0","0.0"
"2019-2020","Tamil Nadu","Tiruvannamalai","Vembakkam","Pallavaram","452.0","600.0","2.0","4.0","10.0","11.0","90.0","10.0","344.0","444.0","344.0","379.0","344.0","379.0","335.0","369.0","21966.0","21966.0","0.0","0.0","0.0","1.0"
"2021-2022","Maharashtra","Kolhapur","Karvir","Kandagaon","477.0","848.0","0.0","0.0","9.0","10.0","123.0","0.0","262.0","385.0","6.0","11.0","6.0","11.0","2.0","6.0","38.0","38.0","0.0","0.0","0.0","0.0"
"2017-2018","Assam","Morigaon","Laharighat","Nagabandha","2074.0","3823.0","10.0","34.0","237.0","564.0","1.0","1.0","1876.0","1878.0","962.0","2000.0","962.0","2001.0","894.0","1853.0","33506.0","33506.0","0.0","12.0","5.0","0.0"
"2019-2020","Tamil Nadu","Villupuram","T.V. Nallur","Thenmangalam","589.0","1305.0","0.0","2.0","0.0","0.0","171.0","0.0","415.0","586.0","503.0","649.0","503.0","649.0","489.0","617.0","3718.0","3718.0","0.0","0.0","0.0","0.0"
"2018-2019","Meghalaya","South West Khasi Hills","Ranikor","Nolikata","79.0","125.0","0.0","0.0","6.0","9.0","0.0","79.0","0.0","79.0","79.0","79.0","79.0","79.0","79.0","79.0","4900.0","4900.0","0.0","0.0","0.0","0.0"
"2017-2018","Bihar","Jamui","Khaira","Raipura","1741.0","3086.0","13.0","25.0","152.0","189.0","453.0","12.0","1109.0","1574.0","228.0","266.0","228.0","266.0","213.0","240.0","11310.0","11310.0","0.0","5.0","2.0","0.0"
"2023-2024","Tamil Nadu","Thanjavur","Orathanadu","Ponnappur West","226.0","306.0","1.0","4.0","3.0","7.0","64.0","0.0","162.0","226.0","116.0","118.0","116.0","118.0","110.0","112.0","4195.0","4195.0","0.0","0.0","0.0","0.0"
"2018-2019","Arunachal Pradesh","Changlang","Khimiyang","Thamlom","104.0","271.0","22.0","108.0","13.0","41.0","0.0","102.0","2.0","104.0","82.0","166.0","82.0","166.0","82.0","166.0","3051.0","3051.0","0.0","0.0","0.0","0.0"
"2017-2018","Maharashtra","Nanded","Kandhar","Mangnali","487.0","1385.0","0.0","0.0","1.0","5.0","56.0","0.0","431.0","487.0","22.0","42.0","22.0","42.0","21.0","41.0","506.0","506.0","0.0","1.0","0.0","0.0"
"2017-2018","Madhya Pradesh","Narsinghpur","Gotegaon","Seoni Bandha","402.0","872.0","175.0","762.0","43.0","127.0","239.0","71.0","89.0","399.0","365.0","879.0","365.0","879.0","352.0","836.0","12302.0","12302.0","0.0","13.0","0.0","0.0"
