Year (year),Name of the state (state_name),Name of the district (district_name),Name of the block (block_name),Name of the Gram Panchayat (gp_name),Number of registered households (reg_hh),Number of registered persons (reg_pers),Number of deleted job cards for households (del_jobcards_hh),Number of deleted job cards for persons (del_jobcards_pers),Number of included job cards for households (incl_jobcards_hh),Number of included job cards for persons (incl_jobcards_pers),Cumulative job cards issued for Scheduled Castes for households (cumul_hh_jobcards_sc),Cumulative job cards issued for Scheduled Tribes for households (cumul_hh_jobcards_sts),Cumulative job cards issued for other categories for households (cumul_hh_jobcards_others),Total cumulative job cards issued for all categories for households (cumul_hh_jobcards_tot),Number of households demanding employment (emp_demand_hh),Number of persons demanding employment (emp_demand_pers),Number of households offered employment (emp_offer_hh),Number of persons offered employment (emp_offer_pers),Number of households availing employment (emp_avail_hh),Number of persons availing employment (emp_avail_pers),Total person-days of employment availed (emp_avail_tot_persondays),Person-days of employment availed under central liability (emp_avail_central_persondays),Person-days of employment availed under state's liability (emp_avail_states_persondays),Number of households completing 100 days of employment (fam_completed_100_days),Number of households benefiting from land reform or IAY schemes (land_reform_benef_hh),Number of disabled individuals benefiting from the scheme (disabled_benef_indiv)
"2021-2022","Haryana","Mahendragarh","Narnaul","Baskirarod Umrarad","99.0","144.0","0.0","0.0","6.0","6.0","52.0","0.0","47.0","99.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2014-2015","Uttar Pradesh","Varanasi","Baragaon","Ratan Pur","90.0","139.0","0.0","0.0","0.0","3.0","16.0","0.0","74.0","90.0","45.0","57.0","45.0","57.0","43.0","54.0","2092.0","2092.0","0.0","1.0","0.0","0.0"
"2014-2015","Bihar","Darbhanga","Singhwara","Singhwara North","1155.0","1909.0","0.0","0.0","38.0","63.0","331.0","0.0","823.0","1154.0","201.0","297.0","201.0","297.0","182.0","248.0","6349.0","6349.0","0.0","3.0","0.0","0.0"
"2015-2016","Maharashtra","Osmanabad","Osmanabad","Shingoli","462.0","1316.0","3.0","10.0","33.0","79.0","124.0","0.0","281.0","405.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2015-2016","Manipur","Churachandpur","Lamka","T. Minjang","33.0","51.0","0.0","0.0","32.0","32.0","0.0","33.0","0.0","33.0","33.0","33.0","33.0","33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2018-2019","Gujarat","Gir Somnath","Patan Veraval                                     ","Simar","109.0","378.0","0.0","0.0","13.0","40.0","29.0","0.0","56.0","85.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016-2017","Jharkhand","Pakur","Pakur","Navinagar","1083.0","2665.0","14.0","161.0","134.0","213.0","55.0","261.0","760.0","1076.0","436.0","778.0","436.0","778.0","403.0","717.0","18262.0","18262.0","0.0","15.0","0.0","0.0"
"2015-2016","Chhattisgarh","Kondagaon","Kondagaon","Umarhgao-B","326.0","846.0","0.0","0.0","1.0","3.0","1.0","268.0","55.0","324.0","232.0","496.0","232.0","496.0","221.0","437.0","10639.0","10639.0","0.0","20.0","0.0","0.0"
"2023-2024","Uttar Pradesh","Mirzapur","Narainpur","Piralli Pur","112.0","130.0","283.0","380.0","0.0","6.0","26.0","12.0","74.0","112.0","24.0","24.0","24.0","24.0","24.0","24.0","840.0","840.0","0.0","0.0","0.0","0.0"
"2014-2015","Odisha","Mayurbhanj","Kusumi","Talokpokhari","1174.0","4537.0","0.0","1.0","10.0","116.0","55.0","954.0","165.0","1174.0","753.0","1374.0","753.0","1373.0","617.0","996.0","21408.0","21408.0","0.0","30.0","2.0","1.0"
"2018-2019","Tamil Nadu","Madurai","Melur","Thiruvathavur","1023.0","1103.0","2.0","2.0","5.0","5.0","240.0","0.0","782.0","1022.0","839.0","873.0","839.0","873.0","834.0","868.0","30835.0","30835.0","0.0","85.0","1.0","3.0"
"2022-2023","Jammu And Kashmir","Rajauri","Darhal","Thanamang-A","312.0","524.0","1.0","10.0","5.0","38.0","0.0","4.0","304.0","308.0","232.0","354.0","232.0","354.0","227.0","345.0","8572.0","8572.0","0.0","0.0","0.0","0.0"
